ID;EUPONT_ID;NDX;LEIRAS
37108386;99473;3;Súlyos nagyizületi arthrosis fennállása esetén, ha a beteg 65 évnél idősebb, vagy gyomor-bélnyálkahártya sérülés nagy kockázata áll fenn (előzetes ulcus dokumentált eseteiben, NSAID okozta gastrointestinalis vérzés dokumentált eseteiben), vagy tartósan steroidot szed, vagy vérzékenységben szenved, vagy antikoaguláns kezelésben részesül (ideértve a salicilát profilaxist is) az adott készítmény alkalmazási előírásában szereplő javallatok és kardiovascularis kockázati tényezők figyelembevételével
37108728;99478;1;Vashiányos anaemia  megelőzése vagy kezelése - erythropoetin kezelésben részesülő predializált vagy dializált vesebetegek részére
37108761;99479;1;Kiterjedt ulcus cruris
37108762;99479;2;Krónikus sipoly
37108763;99479;3;Tracheostoma
37108815;99480;1;Meniere-szindróma
37108862;99481;1;Amyotrophias lateralsclerosis (ALS)
37108863;99481;2;Paralysis spinalis spastica
37108864;99481;3;Spasticus tetraplegia
37108865;99481;4;Sclerosis multiplex
37108866;99481;5;Stroke után (centrális izomtónus-fokozódással járó állapotokban)
37108961;99483;1;Krónikus hyperurikaemia kezelésére dokumentált allopurinol intolerancia vagy kontraindikáció esetén, olyan állapotokban, amikor a húgysav szövetekben történő lerakódása már bekövetkezett (beleértve tophusok és/vagy arthritis urica fennállását vagy kórelőzményét).
37109005;99484;1;"Stroke és szisztémás embolizáció megelőzésére nem billentyű eredetű pitvarfibrillációban szenvedő felnőtt _x000d_
betegeknél,_x000d_
  - K-vitamin antagonista (acenocumarol és/vagy warfarin) alkalmazásának ellenjavallata esetén, vagy_x000d_
  - K-vitamin antagonista kezelés ellenére elszenvedett stroke vagy szisztémás embolizáció esetén, vagy amennyiben 6 hónapot meghaladó K-vitamin antagonista kezelés során a mért INR értékek kevesebb mint 60%-a esik terápiás tartományba (INR 2 és 3 közé), a következő kockázati tényezők közül legalább kettő fennállása esetén:_x000d_
  - bal kamrai ejekciós frakció < 40%,_x000d_
  - tünetekkel járó szívelégtelenség New York Heart Association (NYHA) II. stádium,_x000d_
  - életkor >= 75 év,_x000d_
  - életkor >= 65 év, a következők valamelyikével: diabetes mellitus, koszorúér-betegség vagy hypertonia."
37109045;99485;1;"Vénás thromboembolia másodlagos megelőzésére, ha az orális K-vitamin antagonisták (acenocumarol, warfarin) ellenjavalltak_x000d_
   "
37109144;99487;1;Kardiovaszkuláris betegségben (ACS, STEMI, nonSTEMI) igen nagy kardiovaszkuláris rizikó és hyperlipidaemia esetén, ha egalább 20 mg rosuvastatinnal vagy legalább 40 mg atorvastatinnal folytatott három hónapos kezelést követően laborkontroll alapján nem sikerült a kívánt célérték elérése (LDL 1,8 mmol/l, össz. Chol. 3,5 mmol/l), vagy amennyiben bizonyíthatóan sztatin intolerancia (CK emelkedés, egyértelműen sztatin terápiára visszavezethető szignifikáns májfunkció eltérés) áll fenn. Az ezetimibe hatóanyagú készítmény alkalmazása javasolt akkor is, ha bizonyított mellékhatás miatt csak kisebb adag sztatin szedése lehetséges, amely mellett nem sikerült a célérték elérése.
37109145;99487;2;Bizonyítottan cerebrovaszkuláris eseményen (TIA, stroke) átesett beteg számára, igen nagy kardiovaszkuláris rizikó és hyperlipidaemia esetén, ha legalább 20 mg rosuvastatinnal vagy legalább 40 mg atorvastatinnal folytatott három hónapos kezelést követően laborkontroll alapján nem sikerült a kívánt célérték elérése (LDL 1,8 mmol/l, össz. Chol. 3,5 mmol/l), vagy amennyiben bizonyíthatóan sztatin intolerancia (CK emelkedés, egyértelműen sztatin terápiára visszavezethető szignifikáns májfunkció eltérés) áll fenn. Az ezetimibe hatóanyagú készítmény alkalmazása javasolt akkor is, ha bizonyított mellékhatás miatt csak kisebb adag sztatin szedése lehetséges, amely mellett nem sikerült a célérték elérése
37109146;99487;3;Perifériás érbetegség miatt műtéten átesett beteg számára, igen nagy kardiovaszkuláris rizikó és hyperlipidaemia esetén, ha legalább 20 mg rosuvastatinnal vagy legalább 40 mg atorvastatinnal folytatott három hónapos kezelést követően laborkontroll alapján nem sikerült a kívánt célérték elérése (LDL 1,8 mmol/l, össz. Chol. 3,5 mmol/l), vagy amennyiben bizonyíthatóan sztatin intolerancia (CK emelkedés, egyértelműen sztatin terápiára visszavezethető szignifikáns májfunkció eltérés) áll fenn. Az ezetimibe hatóanyagú készítmény alkalmazása javasolt akkor is, ha bizonyított mellékhatás miatt csak kisebb adag sztatin szedése lehetséges, amely mellett nem sikerült a célérték elérése
36975761;99287;1;"Kizárólag szekunder profilaxisban, amennyiben a megelőző kemoterápiás ciklusban grade 3-4-es fokozatú neutropéniához társulóan az alábbiak közül valamelyik neutropéniás komplikáció következett be:_x000d_
- neutropénia miatti antibiotikus vagy antimikotikus kezelés;_x000d_
- neutropénia miatti hospitalizáció;_x000d_
- neutropénia miatti dózishalasztás vagy dóziscsökkentés;_x000d_
- febrilis neutropénia._x000d_
"
36976005;99290;3;Tumoros hypercalcaemia, de kizárólag a készítmény alkalmazási előírásában szereplő javallatok figyelembevételével
36976006;99290;4;Malignus tumor következtében fellépő csontmetasztázisok
36976007;99290;5;Myeloma multiplex ossealis manifestatiói
36976024;99291;1;A 8. d) 1., 8. d) 2. és 8) e. pont alatti infúziós kezelések hatásának fenntartására vagy önálló terápiaként - ha a betegnél nem szükséges parenterális biszfoszfonát kezelés, akkor anélkül is
36976084;99292;1;Rosszindulatú daganatos betegségben a daganatellenes kezelés (kemoterápia, sugárkezelés) okozta hányás csillapítása
36976102;99293;1;Rosszindulatú daganatos betegségben a ciszplatin-alapú erősen emetogén (ciszplatin dózis nagyobb, mint 50 mg/m2) daganatellenes kezelés okozta hányinger és hányás megelőzése és kezelése azokban az esetekben, amikor a korábbi kemoterápia során alkalmazott serotonin-antagonista készítmények hatástalannak bizonyultak, ondansetron injekcióval és per os szteroiddal kombinálva
36976126;99294;1;Malignus folyamatokhoz társuló anorexia-cachexia syndroma, az alapbetegség cytostatikus illetve sugaras kezelése alatt vagy ennek előkészítése céljából
36976127;99294;2;Malignus folyamatokhoz társuló anorexia-cachexia syndroma, ha a beteg eredeti testtömegének 10%-át 3 hónap alatt elvesztette
36976128;99294;3;Malignus folyamatokhoz társuló anorexia-cachexia syndroma, ha a beteg más szerekkel 3 hónapig végzett kezelése nem eredményezte a testtömeg szükséges növekedését.
36976154;99295;1;Essentialis thrombocytaemia kezelésére, ha más kezeléssel nem érhető el a megfelelő thrombocytaszám-csökkenés, vagy gyógyszer okozta súlyos mellékhatás (lábszárfekély, bőrfekély), vagy túlérzékenység jelentkezik
36976376;99301;1;Krónikus vastúlterhelés, amennyiben transzfúzió okozta haemosiderosis, vagy idiopathiás (primer) haemochromatosis, vagy porphyria cutanea tardaval  együttjáró vastúlterhelés áll fenn
36975716;99284;1;"Aromatáz-inhibítorral kombinálva hormonreceptor-pozitív, humán epidermális növekedési faktor 2 (HER2)-_x000d_
negatív, lokálisan előrehaladott vagy metasztatikus emlőrákos betegek kezelésére, akik korábban még nem_x000d_
részesültek aromatáz-inhibítor vagy CDK4/6-gátló kezelésben előrehaladott betegségükre. Pre- vagy_x000d_
perimenopausában lévő nők esetében az endokrin terápiát luteinizáló hormon-releasing hormon (LHRH)_x000d_
agonistával kell kombinálni."
37112859;99516;20;Polyarteritis nodosa
37112860;99516;21;Kawasaki szindróma
37112861;99516;22;Psoriasis  beleértve arthropathiás formáját is
37112862;99516;23;Pemphigus
37112863;99516;24;Dermatitis herpetiformis Duhring
37112864;99516;25;Hypertrophiás lichen ruber planus
37112865;99516;26;Necrobiosis lipoidica
37112866;99516;27;Sjörgen szindróma nyálmirigy duzzanatos és extraglanduláris tünetekkel járó formái
37112867;99516;28;Kevert kötőszöveti betegség
37112868;99516;29;Wegener-gramulomatosis
37112869;99516;30;Mikroszkópos polyangiitis
37112870;99516;31;Churg-Strauss szindróma
37112871;99516;32;Takayasu-arteritis
37112872;99516;33;Kevert cryoglobulinaemia
37112873;99516;34;Nem-differenciált autoimmun betegség az adott készítmény alkalmazási előírásában szereplő javallatokban
37113059;99517;1;Nyílt-zugú glaukoma egyéb terápiára rezisztens dokumentált esetei
37113092;99518;1;Nyílt-zugú glaukoma kezelésére olyan betegek részére, akiknél a 22/a. pontban felsorolt gyógyszerekkel szemben orvosilag dokumentált konzerválószer intolerancia áll fenn.
37113117;99519;1;Dializált vesebetegek uraemiás osteodystrophia
37113118;99519;2;Krónikus veseelégtelenséget kísérő osteopathia
37113119;99519;3;Tubularis osteopathiák
37113120;99519;4;D-vitamin-rezisztens osteomalacia
37113150;99520;1;Tehéntej és szójafehérje iránti együttes túlérzékenység, 1-6 éves életkorban
37113176;99521;1;Tehéntejfehérje iránti túlérzékenység, 12 hónapos és 6 éves életkor között
37113266;99523;1;Degeneratív nagyízületi, illetve gerincbetegségek súlyos, más szerekkel nem befolyásolható fájdalmának kezelésére
37113371;99525;1;Cisztás fibrózis (mucoviscidosis)
37113396;99526;1;Humán előkevert inzulinkezelés alatt álló cukorbeteg részére kétszeri, vagy intenzív mix terápia (IMT) részeként háromszori adagolás formájában, amennyiben a posztprandiális vércukorszint dokumentáltan többszöri mérés alkalmával meghaladja a 10,0 mmol/l értéket, vagy dokumentáltan gyakori, tüneteket okozó hypoglikaemia jelentkezik, illetve az intenzifikált inzulinkezelés (bázis/bólus, ICT) nem preferált.
37113460;99527;1;ECHO ultrahang vizsgálattal bizonyított szisztolés diszfunkcióval társuló, NYHA II-IV stádiumú, krónikus szívelégtelenségben szenvedő olyan betegeknél, akiknek sinus ritmusuk van, és akiknek a szívfrekvenciája > egyenlő 75/perc, béta-blokkolót is magába foglaló standardkezelés mellett, vagy olyan esetekben, amikor a béta-blokkolók alkalmazása ellenjavallt vagy a beteg nem tolerálja azt
37113461;99527;2;Invazív vagy non-invazív módszerekkel igazolt krónikus stabil angina pectoris tüneti  kezelésére sinus ritmusban, ha kombinált antianginás kezelés ellenére tachycardia okozta recurrens angina  fennáll béta-blokkolót is magába foglaló standardkezelés mellett, vagy olyan esetekben, amikor a béta-blokkolók alkalmazása ellenjavallt vagy a beteg nem tolerálja azt
37113546;99528;1;"- Az alkalmazási előírás szerinti csökkent balkamra-funkcióval rendelkező szívelégtelenségben szenvedő beteg, aki tolerálja a mineralokortikoid-receptor-antagonista kezelést, de gynaecomastia vagy emlőfájdalom mellékhatás miatt nem tolerálja a spironolakton-kezelést (a fájdalomskálán elért pontszám dokumentáltan 4 vagy a feletti; hétköznapi életvitelét jelentősen megnehezíti), illetve a fizikális vizsgálattal az emlő megnagyobbodása (>4 cm), érzékenysége tapasztalható."
37113562;99529;1;"Szisztémás szklerózisban másodlagos Raynaud-szindrómával vagy fennálló digitális fekélybetegségben_x000d_
szenvedő betegeknél, akik:_x000d_
- korábban részesültek kálcium-csatorna blokkoló vagy pentoxifillin kezelésben, vagy ezekre_x000d_
kontraindikáltak, illetve intoleránsak_x000d_
- első észleléskor vagy követés során 1 éven belül >/= 3 heg van jelen/keletkezett vagy 1 éven belül 1 aktív,_x000d_
fájdalmas fekélye van/volt_x000d_
- vagy ujjperc felszívódás klinikai vagy radiológiai jelei megjelentek."
37113670;99531;1;"- Olyan NYHA besorolás szerint II-es, vagy III-as stádiumú, tünetekkel járó, csökkent ejekciós frakciójú_x000d_
(LVEF<35%,) krónikus szívelégtelenségben szenvedő felnőtt betegek kezelésére, akik korábban progresszív_x000d_
szívelégtelenség miatt rehospitalizációra kerültek, azaz legalább kétszer kórházi kezelésben részesültek, és_x000d_
akiknek az állapota legalább egy éven keresztül tartó, maximálisan tolerálható ACE-gátló (ACE gátló intolerancia_x000d_
esetén ARB) és béta-blokkoló kezelés, illetve amennyiben nem ellenjavallt, mineralokortikoid receptor_x000d_
antagonista kezelés ellenére nem javult._x000d_
További kezelési feltételek:_x000d_
- Szisztolés vérnyomás >100 Hgmm_x000d_
- eGFR>30ml/perc_x000d_
- se K < 5,2 mmol/L_x000d_
- Örökletes vagy idiopátiás angio-ödéma nem lehet a kórelőzményben_x000d_
- Súlyosan károsodott májműködés; biliaris cirrózis és kolesztázis kizáró feltételek_x000d_
- N-terminális pro-BNP [NT-proBNP] > 600 pg/mL ? vagy NT-proBNP >/= 400 pg/ml, ha a beteg 12 hónapon belül_x000d_
szívelégtelenség miatt hospitalizálva volt"
36640004;98904;1;Térdízületi arthrosis súlyos, folyadékgyülemmel járó esetei
36642206;98909;1;Az 5 év alatti gyermekek antibiotikummal történő kezelésére
36656437;98933;1;Dializált, fehérje, elektrolit- és folyadékbevitelben korlátozott betegek részére, akik magas energiatartalmú étrendkiegészítést és fehérjepótlást igényelnek.
36656940;98937;1;Vénás thromboemboliás esemény elsődleges megelőzése céljából elektív, teljes csípőízületi endoprotézis esetén maximum 30 napig, teljes térdízületi endoprotézis esetén maximum 15 napig, felnőtt korú betegek részére
36657265;98939;1;6 év és 18 év közötti betegek számára, vagy legfeljebb középiskolai tanulmányaik befejezéséig, akiknél a DSM-IV kritériumai vagy a BNO-10 irányelvei alapján felállított hiperaktivitás-figyelemzavar szindróma (ADHD), illetve hiperkinetikus zavar diagnózis szerint gyógyszeres kezelésre van szükség
36657667;98943;1;Inzulin kezelésben részesülő cukorbeteg részére ismétlődő eszméletvesztéssel járó hypoglycaemia esetén
36661728;98949;1;Közepes thromboemboliás kockázattal járó, kórházi bentfekvést nem igénylő trauma esetén a vénás thromboemboliás esemény elsődleges megelőzésére profilaktikus dózisban a kockázat fennállásának idejére, de maximum 10 napig
36662096;98951;1;Nagy és az igen nagy thromboemboliás kockázattal járó, kórházi bentfekvést nem igénylő trauma esetén a vénás thromboemboliás esemény elsődleges megelőzésére profilaktikus dózisban a kockázat fennállásának idejére, de maximum három hónapig
36668947;98956;1;Lennox-Gastaut szindróma, maximum hat hónapig
36669111;98957;1;Lennox-Gastaut szindróma - valproatra, lamotriginre, topiramatra vagy ezek kombinációjára dokumentált rezisztencia esetén - egy évig
36687347;98973;1;Dokumentált aktív rheumatoid arthritis egyéb terápiára dokumentáltan rezisztens súlyos eseteiben az adott készítmény alkalmazási előírásában szereplő javallatok figyelembevételével
36687348;98973;2;Dokumentált arthropathia psoriatica, egyéb terápiára dokumentáltan rezisztens súlyos eseteiben az adott készítmény alkalmazási előírásában szereplő javallatok figyelembevételével
36687349;98973;3;Dokumentált psoriasis, egyéb terápiára dokumentáltan rezisztens súlyos eseteiben az adott készítmény alkalmazási előírásában szereplő javallatok figyelembevételével
36687350;98973;4;Dokumentált atopiás dermatitis, egyéb terápiára dokumentáltan rezisztens súlyos eseteiben az adott készítmény alkalmazási előírásában szereplő javallatok figyelembevételével
36687351;98973;5;Dokumentált Bechet-kór syndroma, egyéb terápiára dokumentáltan rezisztens súlyos eseteiben az adott készítmény alkalmazási előírásában szereplő javallatok figyelembevételével
36687352;98973;6;Dokumentált aktív endogén uveitis egyéb terápiára dokumentáltan rezisztens súlyos eseteiben az adott készítmény alkalmazási előírásában szereplő javallatok figyelembevételével
36687353;98973;7;Dokumentált aktív juvenilis idiopathias arthritis esetében az adott készítmény alkalmazási előírásában szereplő javallatok figyelembevételével
36687535;98976;1;T3-hyperthyreosis esetében, hyperthyreotikus terhes és szoptató anyáknak, valamint thiamazollal (Metothyrin) szemben kialakult dokumentált intolerancia esetén
36687871;98978;1;Hormonális szint vizsgálatával dokumentált hypogonadizmus súlyos eseteiben, az életkorból adódó csökkent tesztoszteron-képzést kivéve
36694554;98997;1;Tüneti szerekkel nem befolyásolható, szövettanilag igazolt kollagén colitisben, napi 9 mg-s adagban 8 hétig, hisztológiai vizsgálattal igazolt remisszió esetén a kezelés tovább folytatható tünetektől függően lehetőleg csökkentett adagban (3-6 mg/nap)
36688906;98980;1;A kórelőzményben szereplő, dokumentált darázs-, méhméreg vagy fűkeverék allergia okozta generalizált anaphylaxiás reakció esetén, intenzív osztályos háttérrel rendelkező intézetben
36690839;98984;1;Tehéntejfehérje iránti túlérzékenység, 0-12 hónapos életkorban
36690840;98984;2;Tehéntej és szójafehérje iránti együttes túlérzékenység, 0-1 éves életkorban
36691539;98986;1;Tehéntejfehérje iránti túlérzékenység, 6 hónapos és 1 éves életkor között
36694154;98993;1;Microsporia capitis
36694155;98993;2;Trichophytia profunda
36593720;98790;1;Tetanusz profilaxis dokumentáltan szükséges eseteiben
36596405;98795;2;Perifériás őssejt gyűjtés esetén
36596404;98795;1;Rosszindulatú daganatos betegség miatt végzett kemoterápia/irradiáció során fellépő súlyos lázas neutropénia esetén, vagy olyan esetben, ha a lázas neutropénia kockázata a 20%-ot meghaladja
36694873;99000;1;Szövettanilag és/vagy laparoszkóppal igazolt endometriosis
36596406;98795;3;Csontvelő átültetésben részesülő betegek, akik hosszan tartó, súlyos neutropeniának lehetnek kitéve
36596744;98797;1;Rosszindulatú daganatos betegek fájdalomcsillapítása,  WHO szerint I. fájdalomcsillapító lépcsőbe tartozó szerként, az adott készítmény alkalmazási előírásában szereplő javallatokban
36598166;98798;1;Rosszindulatú daganatos betegek fájdalomcsillapítása,  WHO szerint II. fájdalomcsillapító lépcsőbe tartozó szerként, az adott készítmény alkalmazási előírásában szereplő javallatokban
36600645;98799;1;Rosszindulatú daganatos betegek fájdalomcsillapítása,  WHO szerint III. fájdalomcsillapító lépcsőbe tartozó szerként, az adott készítmény alkalmazási előírásában szereplő javallatokban
36604023;98803;1;"Csontrendszert érintő események (patológiás csonttörés, a csontok besugárzása, gerincvelő kompresszió vagy csontműtét) megelőzése prosztata tumor csontáttéteiben szenvedő felnőtteknél progresszióig (csontszcintigráfia és CT-vel vagy MR-el detektált változás), amennyiben a betegnél az Eü100 8/d2. pont alapján rendelhető készítmény _x000d_
"
36604024;98803;2;dokumentáltan ellenjavallt vagy túlérzékenység miatt nem alkalmazható
36604025;98803;3;alkalmazása során akut-fázis reakció alakul ki [a kezelés első 3 napján fellépő, lázzal (>=38 C) kísért, hát- vagy ízületi vagy csontfájdalom formájában],
36604026;98803;4;alkalmazása nem javasolt súlyos vesekárosodás (kreatinin-clearance < 30 ml/perc) vagy a kreatinin-clearance 30-60 ml/perc esetén, vagy az alkalmazási előírás alapján alkalmazandó csökkentett dózis ellenére romló vesefunkció esetén, vagy,
36604027;98803;5;legalább 3 hónapig történő alkalmazása során a csontfolyamat progrediál.
36604587;98804;1;Szövettanilag igazolt emlőrák csontáttétekkel
36604588;98804;4;Tumoros hypercalcaemia
36605133;98808;1;"A megelőző 3 hónapban az e pont alá tartozó gyógyszerrel kezelt beteg részére, illetve azon beteg részére, akinél az EÜ 100 8/h2. pontra besorolt készítményekkel szemben intolerancia áll fenn, vagy az adott készítmények kontraindikáltak_x000d_
- szervre lokalizált prosztatarák sugárkezelésekor:_x000d_
   a) közepes kockázat esetén neoadjuváns/konkomittáns/adjuváns formában 3 hó - maximum 6 hónapig,_x000d_
   b) magas kockázat esetén neoadjuváns/konkomittáns/adjuváns formában 3 hó - maximum 3 évig;_x000d_
- lokálisan előrehaladott prosztatarák kezelésekor kiemelten magas rizikójú prosztatarák esetén:_x000d_
   a) ha a beteg alkalmatlan sebészeti vagy sugárkezelésre,_x000d_
   b) sebészeti kezelést megelőzően neoadjuvánsként maximum 3 hónapig,_x000d_
   c) sugárkezeléskor neoadjuváns/konkomittáns/adjuváns formában 3 hó - maximum 3 évig;_x000d_
- bármely kockázat esetén nyirokcsomó pozitivitáskor (N+);_x000d_
- metasztatikus prosztatarákban szenvedő betegeknél;_x000d_
- kuratív kezelés után fellépő progresszió esetén;_x000d_
androgen deprivációs hormonterápiaként, maximum 1 hónapos bevezető antiandrogén kezelés mellett, onkoteam (urológus, klinikai onkológus, sugárterápiás szakorvos) dokumentált javaslata alapján."
36605244;98809;1;"A megelőző 3 hónapban az Eü100 8/h1. pont alá tartozó gyógyszerrel nem kezelt beteg (új beteg) részére_x000d_
- szervre lokalizált prosztatarák sugárkezelésekor:_x000d_
  a) közepes kockázat esetén neoadjuváns/konkomittáns/adjuváns formában 3 hó - maximum 6 hónapig,_x000d_
  b) magas kockázat esetén neoadjuváns/konkomittáns/adjuváns formában 3 hó - maximum 3 évig;_x000d_
- lokálisan előrehaladott prosztatarák kezelésekor kiemelten magas rizikójú prosztatarák esetén:_x000d_
  a) ha a beteg alkalmatlan sebészeti vagy sugárkezelésre,_x000d_
  b) sebészeti kezelést megelőzően neoadjuvánsként maximum 3 hónapig,_x000d_
  c) sugárkezeléskor neoadjuváns/konkomittáns/adjuváns formában 3 hó - maximum 3 évig;_x000d_
- bármely kockázat esetén nyirokcsomó pozitivitáskor (N+);_x000d_
- metasztatikus prosztatarákban szenvedő betegeknél;_x000d_
- kuratív kezelés után fellépő progresszió esetén;_x000d_
androgen deprivációs hormonterápiaként, maximum 1 hónapos bevezető antiandrogén kezelés mellett, onkoteam (urológus, klinikai onkológus, sugárterápiás szakorvos) dokumentált javaslata alapján."
36607242;98810;1;Tamoxifen kezelés után kialakult relapsus vagy tamoxifen intolerancia esetén dokumentált hormonreceptor pozitív emlődaganatos, postmenopauzában levő betegek kezelése
36608914;98811;1;Postmenopauzában lévő, hormonreceptor pozitív korai emlőrákos beteg adjuváns kezelése
36609698;98812;1;Postmenopauzában lévő, hormonreceptor pozitív korai emlőrákos beteg adjuváns kezelése standard tamoxifen terápiát követő szekvenciális kezelésként
36609823;98813;1;Lokálisan, lokoregionálisan előrehaladott vagy metasztatikus, hormonreceptor pozitív emlőrákban, tamoxifen és aromatase-gátló - vagy ha a beteg korábban tamoxifent nem kapott, aromatase-gátló - kezelés után bekövetkező progresszió (elváltozások méretének 25%-os növekedése, vagy új gócok megjelenése) esetén
36610563;98815;1;" Az alapbetegséggel összefüggő, tünetekkel járó, lokálisan előrehaladott hormondependens prosztatarák kezelésére antiandrogennel_x000d_
a) maximum 1 hónapos bevezető terápiaként LHRH-analóg mellett, vagy_x000d_
b) metasztázis nélküli (M0) betegek esetén szekunder hormonkezelés céljából monoterápiaként emelt dózisban;"
36610564;98815;2;"Áttétes hormondependens prosztatarák kezelésére antiandrogennel maximum 1 hónapos bevezető terápiaként LHRH-analóg mellett;"
36610565;98815;3;"Addicionális hormonmanipuláció céljából antiandrogennel azon betegeknél, akiknél az adekvát szérum tesztoszteron-csökkenést (<50 ng/dl vagy 1,7 nmol/l) nem lehetett elérni gyógyszeres vagy sebészi kasztráció által;"
36610566;98815;4;onkoteam (urológus, klinikai onkológus, sugárterápiás szakorvos) dokumentált javaslata alapján
36610808;98816;1;"Hólyagtumor alacsony és közepes kockázatú eseteiben az  intravesicalis instilláció céljára a  finanszírozási _x000d_
eljárásrendekről szóló miniszteri rendeletben meghatározott finanszírozási eljárásrend alapján"
36611826;98820;1;Citosztatikus kezelés okozta hányás esetén, amennyiben az a 8. n) 1. pont szerinti gyógyszerekkel nem befolyásolható
36612003;98822;1;Emlő rosszindulatú daganat daganatellenes oki terápiája az adott készítmény alkalmazási előírásában szereplő javallatokban
36612004;98822;2;Endometrium rosszindulatú daganat daganatellenes oki terápiája az adott készítmény alkalmazási előírásában szereplő javallatokban
36612204;98824;1;B-sejtes krónikus lymphoid leukemiában (CLL)  megfelelő biológiai állapot fennállása esetén első vonalbeli kombinációs terápia részeként 25 mg/m2 dózisban, vagy monoterápiában, amennyiben kombinációs terápia ellenjavallt
36612205;98824;2;B-sejtes krónikus lymphoid leukemiában (CLL)  másodvonalbeli kezelés, amennyiben alkiláló ágenst tartalmazó kezelés ellenére terápiarezisztencia vagy progresszió igazolható
36616513;98832;1;Mánia, a 10/b1-10/b2. pontban felsorolt szerekre dokumentáltan nem reagáló, vagy ezeket a szereket nem toleráló betegek esetében
36619277;98833;1;Mánia, a 10/b1-10/b3. pontban felsorolt szerekre dokumentáltan nem reagáló, vagy ezeket a szereket nem toleráló beteg esetében
36621813;98839;1;Amyotrophiás lateral sclerosis klinikailag és electromyographias (EMG) vizsgálattal dokumentált eseteiben
36621895;98840;1;Diabetes insipidus
36622058;98841;1;Diabetes insipidus, desmopressin hatóanyagú orrcsepp igazolt hatástalansága esetén
36622257;98842;1;Veleszületett mellékvese hypoplasia 18 éves korig
36625595;98850;2;Anyatej hiánya esetén, annak pótlására 2500 g testsúly alatti kis testtömegű újszülöttnek, illetve koraszülöttnek  a 3000 g testsúly eléréséig
36625640;98851;1;Terhes anyák részére, szerológiailag igazolt toxoplasmosisban
36626781;98855;1;Igazolt Paget kór kezelése, két évente egy alkalommal
