ATC;MEGNEV;ANGOL;HATOANYAG
C10BA;hmg coa reduktáz gátlók és egyéb lipidszintet csökkentő készítmények kombinációi;;
J01FG;streptogramins;;
V06BA;;;
C09DB;losartan and amlodipine;losartan and amlodipine;losartan and amlodipine
L01XD;Sensitizers used in photodynamic/radiation therapy;;
J01DE;fourth-generation cephalosporins;;
L01XE;"Protein-kináz inhibitorok_x000d_
";;
J01DB;Első generációs cephalosporinok;;
C10BX;hmg coa reduktáz gátlók egyéb kombinációi;;
J01DD;Harmadik generációs cephalosporinok;;
H05BX;Egyéb anti-parathyreoid készítmények;;
J06BB22;obiltoxaximab;obiltoxaximab;obiltoxaximab
J05AR02;lamivudine and abacavir;lamivudine and abacavir;lamivudine and abacavir
B01CB;;;
A05CX;;;
A10BH;dipeptidyl peptidáz gátlók;dipeptidyl peptidase 4 (dpp-4) inhibitors;
J05AR01;zidovudine and lamivudine;zidovudine and lamivudine;zidovudine and lamivudine
J05AR;"Vírusellenes szerek HIV fertőzés kezelésére, kombinációk_x000d_
Vírusellenes szerek HIV fertőzés kezelésére, kombinációk";;
C02KX;Egyéb antihypertensivumok;;
B03XA03;methoxy polyethylene glycol-epoetin beta;methoxy polyethylene glycol-epoetin beta;methoxy polyethylene glycol-epoetin beta
J02AX06;anidulafungin;anidulafungin;anidulafungin
N07BC51;buprenorphine  kombinációi;buprenorphine  kombinációi;buprenorphine kombinációi
A10BD08;metformin és vildagliptin;metformin and vildagliptin;metformin és vildagliptin
L01XE05;sorafenib;sorafenib;sorafenib
L04AC02;basiliximab;basiliximab;basiliximab
L04AC;Interleukin-gátlók;;
L01XE08;nilotinib;nilotinib;nilotinib
A10BH01;sitagliptine;sitagliptine;sitagliptine
L01XE03;erlotinib;;erlotinib
C02KX01;bosentan;;bosentan
L01XE06;dasatinib;dasatinib;dasatinib
B01AX05;fondaparinux;fondaparinux sodium;fondaparinux
J05AR04;zidovudine, lamivudine and abacavir;zidovudine, lamivudine and abacavir;zidovudine, lamivudine and abacavir
J05AE07;fosamprenavir;;fosamprenavir
G03GA51;alfa follitropin/ alfa lutropin;;alfa follitropin/ alfa lutropin
L04AD;Calcineurin-gátlók;;
A16AB06;sarcosidase;sarcosidase;sarcosidase
B01AC19;beraprost;beraprost;beraprost
B01AD12;protein c;protein c;protein c
B01AE01;desirudin;desirudin;desirudin
B01AE03;argatroban;argatroban;argatroban
B01AE04;melagatran;melagatran;melagatran
B01AE05;ximelagatran;ximelagatran;ximelagatran
B02BC30;fibrinogen, human;fibrinogen, human;fibrinogen, human
A01AB23;minocycline;minocycline;minocycline
A02BX13;alginic acid;alginic acid;alginic acid
A03AX13;silicones;silicones;silicones
A04AD12;aprepitant;aprepitant;aprepitant
D11AX12;pyrithione zinc;pyrithione zinc;pyrithione zinc
D11AX13;monobenzone;monobenzone;monobenzone
D11AX16;eflornithine;eflornithine;eflornithine
D11AX17;cromoglicic acid;cromoglicic acid;cromoglicic acid
G01AD03;ascorbid acid;ascorbid acid;ascorbid acid
G01AF18;flutrimazole;flutrimazole;flutrimazole
B03AC07;ferric sodium gluconate complex;ferric sodium gluconate complex;ferric sodium gluconate complex
B03AD04;dextriferron;dextriferron;dextriferron
B03BA05;mecobalamine;mecobalamine;mecobalamine
B05AA09;hemoglobin raffimer;hemoglobin raffimer;hemoglobin raffimer
C01AA52;acetyldigoxin, combinations;acetyldigoxin, combinations;acetyldigoxin, combinations
C01DX19;nesiritide;nesiritide;nesiritide
C01EB16;ibuprofen;ibuprofen;ibuprofen
C02LC05;moxonidine and diuretics;moxonidine and diuretics;moxonidine and diuretics
C04AX32;fasudil;fasudil;fasudil
C07AB13;talinolol;talinolol;talinolol
C08CA14;cilnidipine;cilnidipine;cilnidipine
C08CA15;benidipine;benidipine;benidipine
J07BX03;covid-19 vakcina;covid-19 vaccine;covid-19 vakcina
C09BB12;delapril and calciumchannel blockers;delapril and calciumchannel blockers;delapril and calciumchannel blockers
C09CA08;olmesartan medoxomil;olmesartan medoxomil;olmesartan medoxomil
C09DA02;eprosartan and diuretics;eprosartan and diuretics;eprosartan and diuretics
C09DA08;olmesartan medoxomil and diuretics;olmesartan medoxomil and diuretics;olmesartan medoxomil and diuretics
C10AA51;simvastatin, combinations packages;simvastatin, combinations packages;simvastatin, combinations packages
C10AA52;lovastatin, combinations;lovastatin, combinations;lovastatin, combinations
C10AA53;pravastatin, combinations;pravastatin, combinations;pravastatin, combinations
C10AA55;atorvastatin, combinations;atorvastatin, combinations;atorvastatin, combinations
C10AC04;colesevelam;colesevelam;colesevelam
D01AE23;butenafine;butenafine;butenafine
D01AE54;undecylenic acid, combinations;undecylenic acid, combinations;undecylenic acid, combinations
D03AX09;crilanomer;crilanomer;crilanomer
D03AX10;enoxolone;enoxolone;enoxolone
D05AX52;calcipotriol, combinations;calcipotriol, combinations;calcipotriol, combinations
D06BB11;docosanol;docosanol;docosanol
D07XC04;diflucortolone;diflucortolone;diflucortolone
D08AE06;biphenylol;biphenylol;biphenylol
D08AJ58;benzethonium cloride, combinations;benzethonium cloride, combinations;benzethonium cloride, combinations
D08AJ59;dodeclonium bromide, combinations;dodeclonium bromide, combinations;dodeclonium bromide, combinations
D08AX08;ethanol;ethanol;ethanol
J01DB03;cefalotin;cefalotin;cefalotin
J01DB04;cefazolin;cefazolin;cefazolin
J01DB06;cefazedone;cefazedone;cefazedone
J01DB07;cefatrizine;cefatrizine;cefatrizine
J01DB08;cefapirin;cefapirin;cefapirin
J01DB10;cefacetrile;cefacetrile;cefacetrile
J01DB11;cefroxadine;cefroxadine;cefroxadine
J01DB12;ceftezole;ceftezole;ceftezole
J01DC05;cefotetan;cefotetan;cefotetan
J01DC06;cefonicide;cefonicide;cefonicide
J01DC07;cefotiam;cefotiam;cefotiam
J01DC08;loracarbef;loracarbef;loracarbef
J01DD03;cefsulodin;cefsulodin;cefsulodin
J01DD05;cefmenoxime;cefmenoxime;cefmenoxime
J01DD06;latamoxef;latamoxef;latamoxef
J01DD07;ceftizoxime;ceftizoxime;ceftizoxime
J01DD10;cefetamet;cefetamet;cefetamet
J01DD11;cefpiramide;cefpiramide;cefpiramide
J01DD12;cefoperazone;cefoperazone;cefoperazone
J01DD13;cefpodoxime;cefpodoxime;cefpodoxime
J01DD54;ceftriaxone, combinations;ceftriaxone, combinations;ceftriaxone, combinations
J01DE02;cefpirome;cefpirome;cefpirome
J01EE06;sulfadiazine and tetroxoprim;sulfadiazine and tetroxoprim;sulfadiazine and tetroxoprim
J01EE07;sulfamerazine and trimethoprim;sulfamerazine and trimethoprim;sulfamerazine and trimethoprim
J01FA15;telithromycin;telithromycin;telithromycin
J07CA10;typhoid - hepatitis a;typhoid - hepatitis a;typhoid - hepatitis a
L01CX01;trabectedin;trabectedin;trabectedin
L01XC05;gemtuzumab;gemtuzumab;gemtuzumab
L01XD01;porfimer sodium;porfimer sodium;porfimer sodium
L01XD03;methyl aminolevulinate;methyl aminolevulinate;methyl aminolevulinate
L01XD04;aminolevulinic acid;aminolevulinic acid;aminolevulinic acid
L01XD05;temoporfin;temoporfin;temoporfin
L01XX27;arsenic trioxide;arsenic trioxide;arsenic trioxide
L01XX28;imatinib;imatinib;imatinib
L01XX29;denileukin diftitox;denileukin diftitox;denileukin diftitox
L01XX31;gefitinib;gefitinib;gefitinib
L01XX33;celecoxib;celecoxib;celecoxib
L02BX01;abarelix;abarelix;abarelix
L04AA01;ciclosporin;ciclosporin;ciclosporin
L04AA14;anakinra;anakinra;anakinra
L04AA15;alefacept;alefacept;alefacept
L04AA19;gusperimus;gusperimus;gusperimus
L04AA21;efalizumab;efalizumab;efalizumab
L04AX03;methotrexate;methotrexate;methotrexate
M01AH03;valdecoxib;valdecoxib;valdecoxib
M02AA24;nifenazone;nifenazone;nifenazone
J01XX08;linezolid;linezolid;linezolid
J02AX05;micafungin;micafungin;micafungin
J04AM04;thioacetazone and isoniazid;thioacetazone and isoniazid;thioacetazone and isoniazid
J04AM06;rifampicin, pyrazinamide, ethambutol and isoniazid;rifampicin, pyrazinamide, ethambutol and isoniazid;rifampicin, pyrazinamide, ethambutol and isoniazid
J05AX06;pleconaril;pleconaril;pleconaril
G03AA12;drospirenone and estrogen;drospirenone and estrogen;drospirenone and estrogen
G03AA13;norelgestromin and estrogen;norelgestromin and estrogen;norelgestromin and estrogen
G03CC06;estriol;estriol;estriol
G03FA14;dydrogesterone and estrogen;dydrogesterone and estrogen;dydrogesterone and estrogen
G03FA15;dienogest and estrogen;dienogest and estrogen;dienogest and estrogen
G03FA16;trimegestone and estrogen;trimegestone and estrogen;trimegestone and estrogen
G03FB11;trimegestone and estrogen;trimegestone and estrogen;trimegestone and estrogen
G04AB02;piromidic acid;piromidic acid;piromidic acid
G04AB03;pipemidic acid;pipemidic acid;pipemidic acid
G04AB05;cinoxacin;cinoxacin;cinoxacin
G04AB06;flumequine;flumequine;flumequine
G04AC02;nifurtoinol;nifurtoinol;nifurtoinol
G04AD01;phenyl salicylate;phenyl salicylate;phenyl salicylate
G04AG05;mandelic acid;mandelic acid;mandelic acid
G04AG06;nitroxoline;nitroxoline;nitroxoline
G04AH01;methenamine and sulfonamides;methenamine and sulfonamides;methenamine and sulfonamides
G04AH02;phenazopyridine and sulfonamides;phenazopyridine and sulfonamides;phenazopyridine and sulfonamides
L01XC10;ofatumumab;ofatumumab;ofatumumab
R05XA01;r05xa01;r05xa01;r05xa01
L03AW05;l03aw05;l03aw05;l03aw05
R05XA;;;
M05BD01;m05bd01;m05bd01;m05bd01
B02BX05;eltrombopag;eltrombopag;eltrombopag
J05AX65;sofosbuvir and ledipasvir;sofosbuvir and ledipasvir;sofosbuvir and ledipasvir
C09DB04;telmisartan and amlodipine;telmisartan and amlodipine;telmisartan and amlodipine
C07FB07;bisoprolol and other antihypertensives;bisoprolol and other antihypertensives;bisoprolol and other antihypertensives
N02AX06;tapentadol;tapentadol;tapentadol
L04AA27;fingolimod;fingolimod;fingolimod
N05AH05;asenapine;asenapine;asenapine
B01AC24;ticagrelor;ticagrelor;ticagrelor
C09XA53;aliskiren and amlodipine;aliskiren and amlodipine;aliskiren and amlodipine
L01XC11;ipilimumab;ipilimumab;ipilimumab
L04AA28;belatacept;belatacept;belatacept
A10BD11;metformin és linagliptin;metformin and linagliptin;metformin és linagliptin
B02BD10;von Willebrand factor;von Willebrand factor;von Willebrand factor
D11AH;agents for dermatitis, excluding corticosteroids;;
G03AD02;ulipristal;;ulipristal
D11AH02;pimecrolimus;pimecrolimus;pimecrolimus
R01AD58;flutikazon, kombinációk;fluticasone, combinations;flutikazon, kombinációk
R03BB06;glycopyrronium bromide;glycopyrronium bromide;glycopyrronium bromide
J05AR10;lopinavir és ritonavir;lopinavir and ritonavir;lopinavir és ritonavir
L01XE21;regorafenib;regorafenib;regorafenib
L01XX43;vizmodegib;vismodegib;vizmodegib
L03AA14;lipefilgrastim;lipefilgrastim;lipefilgrasztim
C08GA02;amlodipin és indapamid;amlodipine, indapamide;amlodipin és indapamid
B01AC56;acetilszalicilsav és ezomeprazol;acetylsalicylic acid, esomeprazole;acetilszalicilsav és ezomeprazol
C10BA04;szimvasztatin és fenofibrát;simvastatin and fenofibrate;szimvasztatin és fenofibrát
A02BC06;dexlanzoprazol;dexlansoprazole;dexlanzoprazol
B01AC23;cilostazol;cilostazol;cilostazol
R03AC19;olodaterol;olodaterol;olodaterol
L01XE14;bozutinib;bosutinib;bozutinib
L01XE17;axitinib;axitinib;axitinib
R03AL04;indacaterol and glycopyrronium bromide;indacaterol and glycopyrronium bromide;indacaterol and glycopyrronium bromide
L01XE13;afatinib;afatinib;afatinib
G03AD01;levonorgesztrel;levonorgestrel;levonorgesztrel
B06AC04;conestat alfa;conestat alfa;conestat alfa
B01AF02;apixaban;apixaban;apixaban
B01AF;Xa faktor direkt inhibitorai;;
L01XE15;vemurafenib;vemurafenib;vemurafenib
J05AX12;dolutegravir;dolutegravir;dolutegravir
G03XB02;ulipristal;ulipristal;ulipristal
N05AE05;lurasidone;lurasidone;lurasidone
C09DB07;candesartan and amlodipine;candesartan and amlodipine;candesartan and amlodipine
S01AE05;levofloxacin;levofloxacin;levofloxacin
S01EC54;brinzolamid és brimonidin;;brinzolamid és brimonidin
L04AA33;vedolizumab;vedolizumab;vedolizumab
R03AL03;vilanterol and umeclidinium bromide;vilanterol and umeclidinium bromide;vilanterol and umeclidinium bromide
L04AA34;alemtuzumab;alemtuzumab;alemtuzumab
R03AK08;formoterol and beclometasone;formoterol and beclometasone;formoterol and beclometasone
C10BA06;ezetimib és roszuvasztatin;ezetimib és roszuvasztatin;ezetimib és roszuvasztatin
G04CA53;tamszulozin és szolifenacin;tamsulosin and solifenacin;tamszulozin és szolifenacin
G03AB08;dienogest and estradiol;dienogest and estradiol;dienogest and estradiol
L03AB13;peginterferon beta-1a;peginterferon beta-1a;peginterferon beta-1a
A12AA13;calcium citrate;calcium citrate;calcium citrate
N06AX25;hyperici herba;hyperici herba;hyperici herba
R05CA12;hederae helicis folium;hederae helicis folium;hederae helicis folium
L01XC15;obinutuzumab;obinutuzumab;obinutuzumab
G03DB08;dienogest;dienogest;dienogest
J05AX14;daclatasvir;daclatasvir;daclatasvir
C10BA05;atorvasztatin és ezetimib;atorvastatin and ezetimibe;atorvasztatin és ezetimib
A10AE06;insulin degludec;insulin degludec;insulin degludec
G02CX04;cimicifugae rhizoma;cimicifugae rhizoma;cimicifugae rhizoma
M05BB05;alendronic acid, calcium and colecalciferol, sequential;alendronic acid, calcium and colecalciferol, sequential;alendronic acid, calcium and colecalciferol, sequential
L02AE05;histrelin;histrelin;histrelin
D06BX02;ingenol mebutate;ingenol mebutate;ingenol mebutate
D11AX21;brimonidine;brimonidine;brimonidine
L01XE24;ponatinib;ponatinib;ponatinib
M05BB07;risedronsav és colecalciferol;risedronic acid and colecalciferol;risedronsav és colecalciferol
J05AG05;rilpivirin;rilpivirine;rilpivirin
A06AH01;methylnaltrexon bromid;methylnaltrexone bromide;methylnaltrexon bromid
N03AF04;eslicarbazepine;eslicarbazepine;eslicarbazepine
D11AX19;d11ax19;d11ax19;d11ax19
N03AX21;retigabine;retigabine;retigabine
A16AB10;velaglucerase alfa;velaglucerase alfa;velaglucerase alfa
L01XX41;eribulin;eribulin;eribulin
G03AA14;nomegestrol and estrogen;nomegestrol and estrogen;nomegestrol and estrogen
L02BX03;abiraterone;abiraterone;abiraterone
A10BH05;linagliptin;linagliptin;linagliptin
B06AC;Örökletes angiooedema gyógyszerei;;
A10BX11;kanagliflozin;canagliflozin;kanagliflozin
R03AL;Adrenerg szerek kombinációi anticholinerg szerekkel;;
R03AK10;vilanterol és fluticasone furoate;vilanterol és fluticasone furoate;vilanterol és fluticasone furoate
N07XX08;tafamidisz;tafamidis;tafamidisz
M05BB06;alendronsav és alfakalcidol, szekvenciális;alendronic acid and colecalciferol, sequential;alendronsav és alfakalcidol, szekvenciális
A02BD08;bismuth subcitrate, tetracycline and metronidazole;bismuth subcitrate, tetracycline and metronidazole;bismuth subcitrate, tetracycline and metronidazole
R03AL01;fenoterol and ipratropium bromide;fenoterol and ipratropium bromide;fenoterol and ipratropium bromide
R03AL02;salbutamol and ipratropium bromide;salbutamol and ipratropium bromide;salbutamol and ipratropium bromide
J05AR14;darunavir and cobicistat;darunavir and cobicistat;darunavir and cobicistat
L01XC09;catumaxomab;catumaxomab;catumaxomab
S01AE07;moxifloxacin;moxifloxacin;moxifloxacin
L04AC16;guselkumab;guselkumab;guselkumab
L01XE28;ceritinib;ceritinib;ceritinib
L01XE25;trametinib;trametinib;trametinib
R05CA13;cineol;cineole;cineol
L01XX45;carfilzomib;carfilzomib;carfilzomib
V09AX04;flutemetamol (18f);flutemetamol (18f);flutemetamol (18f)
V03AB37;idarucizumab;idarucizumab;idarucizumab
A05AA03;cholic acid;cholic acid;cholic acid
B02BD14;susoctocog alfa;susoctocog alfa;susoctocog alfa
G02CX03;agni casti fructus;agni casti fructus;agni casti fructus
R03AK12;szalmeterol és budezonid;salmeterol and budesonide;szalmeterol és budezonid
L04AX06;pomalidomid;pomalidomide;pomalidomid
B01AF01;rivaroxaban;rivaroxaban;rivaroxaban
L01BC59;trifluridine, combinations;trifluridine, combinations;trifluridine, combinations
A08AA62;bupropion and naltrexone;bupropion and naltrexone;bupropion and naltrexone
M05BB08;zoledronic acid, calcium and colecalciferol, sequential;zoledronic acid, calcium and colecalciferol, sequential;zoledronic acid, calcium and colecalciferol, sequential
N03AX23;brivaracetam;brivaracetam;brivaracetam
J01DI;other cephalosporins and penems;;
A10BD21;saxagliptin és dapagliflozin;saxagliptin and dapagliflozin;saxagliptin és dapagliflozin
J01DD52;ceftazidime, combinations;ceftazidime, combinations;ceftazidime, combinations
S01AA27;cefuroxime;cefuroxime;cefuroxime
J05AR19;emtricitabine, tenofovir alafenamide and rilpivirine;emtricitabine, tenofovir alafenamide and rilpivirine;emtricitabine, tenofovir alafenamide and rilpivirine
A16AX14;migalasztát;migalastat;migalasztát
C07FX;beta blocking agents, other combinations;;
J05AR17;emtricitabine, tenofovir alafenamide;emtricitabine, tenofovir alafenamide;emtricitabine, tenofovir alafenamide
C07AB14;landiolol;landiolol;landiolol
C07FX06;carvedilol and ivabradine;carvedilol and ivabradine;carvedilol and ivabradine
L04AA37;baricitinib;baricitinib;baricitinib
N02AJ13;tramadol and paracetamol;tramadol and paracetamol;tramadol and paracetamol
D06BB53;aciklovir, kombinációk;aciclovir, combinations;aciklovir, kombinációk
A05AA04;obeticholic acid;obeticholic acid;obeticholic acid
A04AD14;rolapitant;rolapitant;rolapitant
J07AH09;meningococcus b, multicomponent vaccine;meningococcus b, multicomponent vaccine;meningococcus b, multicomponent vaccine
V09IX12;fluciclovine (18f);fluciclovine (18f);fluciclovine (18f)
G04BX15;pentosan polysulfate sodium;pentosan polysulfate sodium;pentosan polysulfate sodium
J05AX68;elbasvir and grazoprevir;elbasvir and grazoprevir;elbasvir and grazoprevir
N05AX15;cariprazine;cariprazine;cariprazine
L01EX10;midostaurin;midostaurin;midostaurin
L04AA36;ocrelizumab;ocrelizumab;ocrelizumab
C10BX15;atorvastatin and perindopril;atorvastatin and perindopril;atorvastatin and perindopril
D11AX24;deoxycholic acid;deoxycholic acid;deoxycholic acid
R03DX10;benralizumab;benralizumab;benralizumab
B02BX06;emicizumab;emicizumab;emicizumab
A16AB15;velmanase alfa;velmanase alfa;velmanase alfa
A16AB13;asfotase alfa;asfotase alfa;asfotase alfa
J07BM03;papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58);papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58);papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)
D11AH05;dupilumab;dupilumab;dupilumab
M05BX05;burosumab;burosumab;burosumab
G04CA51;alfuzosin and finasteride;alfuzosin and finasteride;alfuzosin and finasteride
L03AW;;;
V03AE07;kalcium-acetát;calcium acetate;calcium acetate
R03AC18;indacaterol;indacaterol;indacaterol
L03AX16;plerixafor;plerixafor;plerixafor
B01AC22;prasugrel;prasugrel;prasugrel
M01AE52;naproxen and esomeprazole;naproxen and esomeprazole;naproxen and esomeprazole
N02AA55;oxycodone and naloxone ;oxycodone and naloxone ;oxycodone and naloxone 
C01BG11;vernakalant;vernakalant;vernakalant
L04AA26;belimumab;belimumab;belimumab
C03XA;vasopressin antagonists;;
C09BX01;perindopril, amlodipine and indapamide;ace inhibitors, other combinations;perindopril, amlodipine and indapamide
A10BD09;pioglitazon és alogliptin;pioglitazone and alogliptin;pioglitazon és alogliptin
A10BD13;metformin és alogliptin;metformin and alogliptin;metformin és alogliptin
A10BH04;alogliptin;alogliptin;alogliptin
C09DB06;losartan and amlodipine;losartan and amlodipine;losartan and amlodipine
L02BB04;enzalutamide;enzalutamide;enzalutamide
L04AA31;teriflunomide;teriflunomide;teriflunomide
A10BX09;dapagliflozin;dapagliflozin;dapagliflozin
R03AL06;olodaterol és tiotropium;;olodaterol és tiotropium
G03AA15;chlormadinone and ethinylestradiol;chlormadinone and ethinylestradiol;chlormadinone and ethinylestradiol
G03AA16;dienogeszt és etinilösztradiol;dienogest and ethinylestradiol;dienogeszt és etinilösztradiol
-;;;
C10BX09;rozuvasztatin és amlodipin;rosuvastatin and amlodipine;rozuvasztatin és amlodipin
C10AX13;evolocumab;evolocumab;evolocumab
C10AX14;alirokumab;alirocumab;alirokumab
M02AA26;nimeszulid;nimesulide;nimeszulid
A16AB12;elosulfase alfa;elosulfase alfa;elosulfase alfa
M09AX03;ataluren;ataluren;ataluren
J01XX11;tedizolid;tedizolid;tedizolid
A06AX04;linaklotid;linaclotide;linaklotid
L01XC19;blinatumomab;blinatumomab;blinatumomab
A04AA55;palonosetron kombinációi;palonosetron, combinations;palonosetron kombinációi
A06AH03;naloxegol;naloxegol;naloxegol
A06AX05;prucalopride;prucalopride;prucalopride
A10AD06;insulin degludec and insulin aspart;insulin degludec and insulin aspart;insulin degludec and insulin aspart
A10BD16;metformin és canagliflozin;metformin and canagliflozin;metformin és canagliflozin
A10BX13;albiglutide;albiglutide;albiglutide
A11HA08;tocofersolan;tocofersolan;tocofersolan
A16AB14;sebelipase alfa;sebelipase alfa;sebelipase alfa
A16AX09;glycerol phenylbutyrate;glycerol phenylbutyrate;glycerol phenylbutyrate
A16AX10;eliglustat;eliglustat;eliglustat
