ID;KOD;LEIRAS
33046;M8701;Idiopathiás asepticus csontelhalás válltájék
36668;T96H0;Kábítószerek, gyógyszerek, biol.anyagok okozta mérgezés következményei
34320;R9310;Szív-koszorúérkeringés diagn. képalkotó vizsg.nál talált kóros leletek
34330;R9420;A tüdő funkcionális vizsgálatainak kóros eredményei
34332;R9440;Vesefunkciós vizsgálatok kóros eredményei
34334;R9460;Pajzsmirigy funkciós vizsgálatok kóros eredményei
39525;J47H0;Bronchiectasia
39526;J60H0;Szénbányászok pneumoconiosisa
34347;S0050;Az ajak és szájüreg felületes sérülése
34353;S0120;Az orr nyílt sebe
34354;S0130;A fül sebe
34358;S0171;A fej többszörös felületes nyílt sebe
34364;S0200;A koponyaboltozat törése
34373;S0272;Arccsontok többszörös törései
34402;S0600;Agyrázkódás
34412;S0690;Koponyaűri sérülés, k.m.n.
39164;D1641;Az agykoponya csontjainak jóindulatú daganata
39184;D1811;A közp. idegrendsz. és/vagy burkainak lymphangiomája
39185;D1820;Juvenilis angiofibroma
38276;I4200;Dilatativ cardiomyopathia
38277;I4210;Hypertrophiás obstructiv cardiomyopathia
38294;I4440;Bal elülső fascicularis block
38316;I4910;Pitvari extrasystole
38318;I4930;Kamrai extrasystole
38324;I5010;Balkamra elégtelenség
42202;L2532;Egyéb vegyszerek okozta nem specifikus kontaktdermatitis (18 % felett)
42208;L2552;Nem élelm.növények okozta nem spec. kontaktdermatitis (18 % felett)
42210;L2581;Egyéb ágensek okozta nem specifikus kontaktdermatitis (nem kiterjedt)
42213;L2591;Ismeretlen okú, nem specifikus kontaktdermatitis (nem kiterjedt)
42222;L2711;Gyógyszer okozta körülirt bőrkiütések (nem kiterjedt)
42225;L2721;Elfogyasztott élelmiszer okozta dermatitis (nem kiterjedt)
42231;L2791;Nem megnevezett, belsőleg bevett anyag okozta dermatitis (nem kiter
42251;L3030;Fertőzéses dermatitis
42255;L3090;Dermatitis, k.m.n.
42274;L4110;Pityriasis lichenoides chronica
42278;L4150;Poikiloderma reticulare
42297;L5010;Urticaria idiopathica
36534;T8030;ABO-incompatibilitási reakció
33461;R42H0;Szédülékenység
34317;R91H0;A tüdő diagnosztikus képalkotó vizsgálatával talált kóros leletek
34337;R95H0;Hirtelen csecsemőhalál syndroma
34340;R98H0;Halál tanú nélkül
37215;W22H0;Nekiütődés vagy ütés egyéb tárgytól
37392;Y0780;Egyéb rossz-bánásmód egyéb megjelölt személy által
37216;W23H0;Beszorulás, becsípődés, összezúzódás tárgyak közé (között)
35385;T12H0;Az alsó végtag törése, szintje nem meghatározott
37438;Y3690;Háborús cselekmények, k.m.n.
37443;Y4040;Tetracyclinek
43350;M5300;Cervicocranalis syndroma
43354;M5380;Egyéb meghatározott dorsopathiák
43359;M5430;Ischias
43362;M5460;Fájdalom háti gerinc területén
43373;Q2890;A keringési szervrendszer veleszületett rendellenessége, k.m.n.
41470;L0230;Tomportáji bőrtályog, kelés, carbunculus
41475;L0310;A végtag egyéb részeinek cellulitise
41482;L0420;Akut nyirokcsomó-gyulladás a felső végtagon
41487;L0590;Pilonidalis cysta tályog nélkül
41493;L1001;Enyhe pemphigus vulgaris
41498;L1020;Pemphigus foliaceus
41504;L1100;Szerzett keratosis follicularis
41505;L1110;Múlékony acantholyticus dermatosis [Grover]
41508;L1200;Bullosus pemphigoid
35578;T3662;Súlyos Rifamycin mérgezés
35580;T3680;Egyéb systemás antibiotikumok által okozott mérgezés
35585;T3712;Súlyos antituberculotikum mérgezés
35595;T3830;Insulin és oralis antidiabeticumok által okozott mérgezés
35597;T3832;Súlyos insulin és oralis antidiabeticumok által okozott mérgezés
35608;T3911;Enyhe és kp. súlyos 4-aminophenol-származékok által okozott mérgezés
33976;N0530;Nem meghatározott nephritis syndroma, diffúz-mesangialis prolif.glomer
33982;N0590;K.m.n. nem meghatározott nephritis syndroma
33987;N0640;Izol.fehérjevizelés megh.morf.elváltozással, diffúz-endocapillaris pr.
39234;D2910;Prostata jóindulatú daganata
39237;D2940;Herezacskó jóindulatú daganata
39238;D2970;Egyéb férfi nemiszervek jóindulatú daganata
39245;D3070;Egyéb húgyszervek jóindulatú daganata
39247;D3100;Kötőhártya jóindulatú daganata
39248;D3110;Szaruhártya jóindulatú daganata
40494;K0900;Fogfejlődési zavarból származó odontogen cysták
40500;K1010;Centrális és óriássejtes granuloma
40502;K1030;Fogmedergyulladás
40507;K1120;Nyálmirigygyulladás
40518;K1300;Az ajkak betegségei
40522;K1340;Granuloma és granuloma-szerű szájnyálkahártya elváltozások
40524;K1360;Irritativ hyperplasia a szájnyálkahártyán
40543;K2250;Nyelőcső-diverticulum, szerzett
40553;K2530;Gyomorfekély heveny vérzés vagy átfúródás nélkül
36233;Y6580;Egyéb megjelölt műtéti vagy gyógykezelési balesetek
37223;W30H0;Mezogazdasági munkagépek által okozott baleset
37238;W45H0;A bőrön keresztül behatoló idegen test vagy tárgy
37239;W49H0;Egyéb és k.m.n. élettelen mechanikai erők által okozott baleset
37245;W55H0;Egyéb emlősök harapása
36255;Y8360;Egyéb szerv eltávolítása (részben) (teljesen)
36257;Y8390;Sebészi eljárás, k.m.n.
36264;Y8460;Hólyagkatéterezés
36266;Y8480;Egyéb orvosi eljárások
37261;W76H0;Egyéb balesetszerű akasztás és strangulatio
37270;W86H0;Egyéb elektromos áram által okozott baleset
36306;Z0050;Vizsgálat szövet vagy szerv esetleges donoránál
36307;Z0060;Vizsgálat: klinikai kutatásban a kontrollcsoport tagja
36309;V3630;3k.mot.jármű-k.m.n.utas sérülése nem mot.járművel ütk.ben, nem közl
36317;V3720;3k.mot.jármű-külső utas sér. rögzített objektummal ütk.ben, nem köz
37273;W89H0;Látható és ibolyántúli sugárzás által okozott ártalom
37282;X02H0;Ellenőrzött tűz épületben vagy építményben
37284;X04H0;Nagymértékben gyúlékony anyagok meggyulladása
37287;X08H0;Egyéb füst, tűz vagy láng által okozott baleset
37289;X10H0;Forró ételek, italok, zsírok és főzőolajok által okozott ártalom
37295;X16H0;Forró fűtőberendezések, hősugárzók és csövek által okozott ártalom
37530;Z5940;Megfelelő táplálék hiánya
37534;Z5980;Lakással és gazdasági viszonyokkal kapcsolatos egyéb problémák
37535;Z5990;Lakással, gazdasági körülménnyel kapcsolatos k.m.n. gondok
37539;Z6030;Beilleszkedési zavar kulturális eltérés miatt
43380;Q3090;Az orr veleszületett rendellenessége, k.m.n.
43411;Q3550;A lágy- és keményszájpad együttes egyoldali hasadéka
43431;Q3840;A nyálmirigyek és vezetékeik veleszületett rendellenességei
43438;Q3920;Veleszületett légcső-nyelőcső sipoly atresia nélkül
33993;N0700;Hereditaer nephropathia m.n.o., kisebb glomerularis eltéréssel
34003;N0800;Glomerularis rendell. máshová oszt. fertőző és parazitás betegségek
34035;N1600;Renalis tubulo-interstit. rendell. másh.o. fert.- parazitás bet.gekben
39803;O3360;Veszélyeztetett terhesség téraránytalanságot okozó hydrocephalus miatt
39805;O3380;Veszélyeztetett terhesség téraránytalanságot okozó egyéb okból
40051;B8120;Trichostrongyliasis
40054;B8180;Egyéb meghatározott bél helminthiasisok
40057;B8300;Zsigeri vándorló lárva
40063;B8390;Helminthiasis, k.m.n.
40065;B8510;Ruhatetű (Pediculus humanus corporis) okozta tetvesség
40074;B8740;Fül myiasis
40075;B8780;Egyéb lokalizációjú myiasisok
40092;B9094;"Post tbc-s, tüdő fibro-cystikus lézió (roncs-lebeny, roncs-tüdő"")"""
40093;B9095;Post tbc-s bronchiectasia
35825;V7470;Autóbusz-külső utas sérülése nehézjárművel-busszal ütk.ben, közl.ba
35829;V7520;Autóbusz-külső utas sérülése személy-tehervonattal ütk.ben,nem közl
35845;V1350;Kerékpár-utas sérülése autóval-teherautóval ütközésben, közl. baleset
35868;V1700;Kerékpárvezető sérülése rögzített objektummal ütk.ben, nem közl.bal
35869;V1710;Kerékpár-utas sérülése rögzített objektummal ütk.ben, nem közl.baleset
35876;V1810;Kerékpár-utas sérülése nem ütközéses balesetben, nem közl. baleset
43159;M1710;Egyéb elsődleges térdízületi arthrosis
37545;Z6110;Otthonvesztés gyermekkorban
37546;Z6120;Családi viszonyok változása a gyermekkorban
37550;Z6160;Gyermek fizikai kihasználásából adódó gondok
37551;Z6170;Gyermekkori riasztó élmény
37552;Z6180;Egyéb kedvezőtlen hatású gyermekkori események
37563;Z6300;Házas- vagy élettárssal kapcsolatos gondok
37564;Z6310;Szülőkkel, apóssal, anyóssal kapcsolatos gondok
37573;Z6400;Nem kívánt terhességből adódó gondok
37586;Z7000;Nemi viselkedéssel kapcsolatos tanácsadás
37589;Z7030;Nemi tanácsadás (érdeklődés, viselkedés, irányultság)
37592;Z7100;Más személyről konzultáló személy
36538;T8080;Infusiót, transfusiót és terápiás injekciót követő egyéb szövődmény
36545;T8130;A műtéti seb szétrepedése, m.n.o.
36552;T8182;Műtét vagy sérülés után állandósuló liquorsipoly, gerinc
36556;T8220;A koszorúér bypass shunt és billentyű graftok mechanikai szövődmény
36560;T8260;Infectio és inflammatio protetikus szívbillentyű miatt
36569;T8350;Infectio-inflammatio a húgyszervi protet.eszk.-impl.-graftok miatt
36573;T8400;A belső ízület protézisek mechanikai szövődményei
36574;T8410;A végtagcsontok belső fixatiós eszközeinek mechanikai szövődményei
36577;T8440;Egyéb belső ortopéd eszközök-implantatumok-graftok mech. szövődmény
36588;T8550;A gastrointest. protet.eszközök-implantatumok-graftok mech. szövődm
36595;T8610;Vese-transplantatum elégtelenség vagy kilökődés
36597;T8630;Szív-tüdő transplantatum elégtelenség vagy kilökődés
36600;T8651;Csontvelo transplantatiot követo chronicus GVHD I-II. stádium
36601;T8652;Csontvelo transplantatiot követo chronicus GVHD III-IV. stádium
40112;B9610;Klebsiella pneumoniae, mint egyéb főcsoportbeli betegségek kiváltó
35614;T3940;Antirheumaticumok, m.n.o. által okozott mérgezés
35621;T4011;Enyhe és kp. súlyos heroin mérgezés
35649;T4231;Enyhe és kp. súlyos barbiturát mérgezés
35663;V5670;Teherautó-külső utas sérülése nem mot.járművel ütközésben, közl.bal
34046;N1790;Heveny veseelégtelenség, k.m.n.
37117;V8880;Személy sér. mot.jármű megj. ütk. nélk. száll.b.esetében, nem k.b.e
37118;V8890;Személy sér. nem mot.jármű egyéb megj. nem közl. balesetében
37120;V8910;Személy sérülése k.m.n. nem motoros járműbalesetben, nem közl. bale
42304;L5081;Egyéb urticaria (18 % felett)
42546;P7480;Egyéb átmeneti anyagcsere zavarok az újszülöttben
42570;P8330;A magzat, újszülött jellegzetes egyéb és nem meghatározott oedemája
39745;O2400;Terhesség előtt fennálló, inzulin függő cukorbetegség (IDDM)
39746;O2410;Terhesség előtt fennálló nem inzulin függő (NIDDM) cukorbetegség
39747;O2420;Terhesség előtti, hiányos táplálkozással összefüggő cukorbetegség
39748;O2430;Terhesség előtt fennálló, k.m.n. típusú cukorbetegség
39749;O2440;Terhesség alatt jelentkező cukorbetegség (gestatiós diabetes) (GDM)
39750;O2490;Terhességgel szövődött cukorbetegség, k.m.n.
42590;P9250;Az újszülött szopási nehézsége
42598;P9490;Az újszülött izomtónusának rendellenessége, k.m.n.
42604;P9640;A terhesség befejeződése, magzat és újszülött
42626;Q0450;Megalencephalia
42632;Q0520;Gerinchasadék az ágyéki szakaszon, vízfejűséggel
36327;V3830;3k.mot.jármű k.m.n. utasának sérülése nem közlekedési balesetben
36335;V3920;Háromk.utasának sérülése összeütk.ben k.m.n. mot.jármű közl.bal.ben
37470;Z5240;Donor: vese
37475;Z5250;Donor: cornea
37477;Z5280;Donor: egyéb szerv vagy szövet
37480;Z5310;Feladott ellátás: beteg döntése miatt
37481;Z5320;Feladott ellátás: beteg döntése k.m.n. okból
37483;Z5390;Feladott ellátás: k.m.n. ok
37486;Z5420;Lábadozás kemoterápia után
37499;Z5600;Munkanélküliség
37527;Z5910;Rossz lakáskörülmények
37939;A1616;Tüdőgümőkór, bakt.és szövettani vizsg. nélk. recidiva, kétoldali
37949;A1632;Mediastinalis nyirokcsomó gümőkór, bakt. vagy szöv.vizsg. eml. nélk
37955;A1644;Bronchus gümőkór, bakt. vagy szövett. vizsg. emlitése nélkül
43454;Q4180;Vékonybél egyéb meghat.részeinek veleszül. hiánya-elzáródása-szűkül
43458;Q4220;A végbélnyílás veleszületett hiánya, elzáródása, szűkülete, sipolly
43459;Q4230;A végbélnyílás veleszül. hiánya-elzáródása-szűkülete, sipoly nélkül
43460;Q4280;A vastagbél egyéb szakaszainak veleszül. hiánya-elzáródása-szűkület
43475;Q4430;Az epeutak veleszületett szűkülete és stricturája
43486;Q5000;A petefészek veleszületett hiánya
43495;Q5120;A méh egyéb kettőzöttsége
34063;N2510;Nephrogen diabetes insipidus
41643;P0440;Az anya kábítószer fogyasztása miatt érintett magzat és újszülött
42305;L5090;Urticaria, k.m.n.
42309;L5121;Toxikus epidermalis necrolysis, testnyílások és ezek környékén
32598;C52H0;A hüvely rosszindulatú daganata
42557;P7820;Újszülöttkori vérhányás és vérszékelés a lenyelt anyai vér miatt
42558;P7830;Nem fertőzéses eredetű újszülöttkori hasmenés
42562;P8080;Egyéb hypothermia az újszülöttben
42563;P8090;Az újszülött hypothermiája, k.m.n.
42565;P8180;Az újszülött hőszabályozásának egyéb meghatározott zavarai
42575;P8390;A kültakarónak a magzatra és az újszülöttre jellemző állapota, k.m.
34209;R69H0;A morbiditás ismeretlen és k.m.n. okai
42579;P9120;Újszülöttkori agylágyulás
42582;P9150;Újszülöttkori coma
42589;P9240;Az újszülött túltáplálása
42592;P9290;Az újszülött táplálási problémája, k.m.n.
34015;N12H0;Tubulo-interstialis nephritis, akutnak vagy krónikusnak k.m.n.
42609;Q0010;Koponya- és gerinchasadék
42612;Q0110;Nasofrontalis agyvelősérv
36318;V3730;3k.mot.jármű-k.m.n.utas sér. rögzített objektummal ütk.ben, nem köz
36326;V3820;3k.mot.jármű külső utasának sérülése nem közlekedési balesetben
36332;V3890;3k.mot.jármű k.m.n. utasának sérülése közlekedési balesetben
36338;V3950;Utas sérülése összeütk.ben k.m.n. mot.jármű közlekedési balesetében
37476;Z5260;Donor: végtag
37488;Z5440;Lábadozás töréskezelés után
37501;Z5620;Munkavesztéstől való félelem
37522;Z5850;Környezetszennyezésnek kitett személy
37528;Z5920;Rossz viszony szomszédokkal, bérlőkkel,  háziúrral
37948;A1631;Hilusi nyirokcsomó gükőkór, bakt. vagy szöv.vizsgálat emlitése nélk
37952;A1641;Gége gümőkór, bakt. vagy szövettani vizsg. emlitése nélkül
43448;Q4030;A gyomor veleszületett rendellenességei, k.m.n.
43453;Q4120;A csípőbél veleszületett hiánya, elzáródása, szűkülete
43467;Q4350;Ectopiás végbélnyílás
43477;Q4450;Az epeutak egyéb veleszületett rendellenességei
43481;Q4510;Pancreas annulare
43484;Q4580;Az emésztőrendszer egyéb meghatározott veleszületett rendellenesség
43489;Q5030;A petefészek egyéb veleszületett rendellenességei
43496;Q5130;Kétszarvú méh
34057;N2180;Egyéb alsó húgyúti kő
34060;N2280;Urolithiasis máshova osztályozott betegségekben
33517;R58H0;Vérzés, m.n.o.
34067;N2700;Kis vese, egyoldali
34099;N3410;Nem specifikus húgycsőgyulladás
34104;N3580;Egyéb húgycsőszűkület
34115;N3910;Perzisztáló fehérjevizelés, k.m.n.
34116;N3920;Orthostaticus fehérjevizelés, k.m.n.
33728;H5300;Látáshiány okozta tompalátás
40217;D5120;Transcobalamin-II hiány
40225;D5300;Fehérjehiány anaemia
40226;D5310;Egyéb megaloblastos anaemiák, m.n.o.
40228;D5380;Egyéb meghatározott táplálkozási anaemiák
40233;D5530;Anaemia a nucleotid anyagcsere zavarai miatt
39825;B2500;Cytomegalovirus pneumonitis (J17.1*)
41654;P0720;Extrém éretlenség
41659;P1000;Subduralis vérzés szülési sérülés következtében
41660;P1010;Agyvérzés szülési sérülés következtében
41664;P1080;Egyéb koponyán belüli sérülés-vérzés szülési sérülés következtében
41670;P1140;Egyéb agyidegek szülési sérülése
41685;P1380;Egyéb csontok szülési sérülése
41689;P1410;Klumpke-típusú bénulás szülési sérülés miatt
41960;E7610;Mucopolysaccharidosis, II. típus
41963;E7680;A glucosaminoglycan anyagcsere egyéb rendellenességei
41966;E7710;A glycoprotein lebontás defektusai
41977;E7890;Lipoprotein anyagcsere rendellenesség, k.m.n.
42001;E8390;Ásványi anyagcsere rendellenesség, k.m.n.
42006;E8500;Heredofamiliaris amyloidosis, neuropathia nélkül
42010;E8540;Szervre lokalizált amyloidosis
36343;V4010;Autó-utas sérülése gyalogossal-állattal ütközésben, nem közl. baleset
36346;V4040;Autó utasának sérülése gyalogossal-állattal ütk.ben, fel-leszálláskor
36349;V4070;Autó-külső utas sérülése gyalogossal-állattal ütközésben, közl.bale
36350;V4090;Autó-k.m.n. utas sérülése gyalogossal-állattal ütközésben, közl.bales.
36361;V4210;Autó utasának sérülése 2-3 k.mot.járművel ütközésben, nem közl.bale
36371;V4320;Autó külső utasának sér. autóval-teherautóval ütk.ben, nem közl.bal
36378;V4400;Autó vezetőjének sérülése nehézjárművel-busszal ütk.ben, nem közl.b
37615;Z7340;Szociális készségek alkalmatlansága
37628;Z7520;Várakozás vizsgálatra és kezelésre
37632;Z7580;Egyéb probléma az ellátóhelyen
37646;Z8040;Rosszindulatú daganat a családban: nemi szervek
37648;Z8060;Rosszindulatú daganat a családban: fehérvérűség
37654;Z8120;Dohányzás a családban
37655;Z8130;Lelki működésre ható szerek kóros használata a családban
43501;Q5180;A méh és méhnyak egyéb veleszületett rendellenességei
43510;Q5270;A szeméremtest egyéb veleszületett rendellenességei
43516;Q5390;Nem descendált here, k.m.n.
43533;Q5600;Hermaphroditismus m.n.o.
42983;F5230;Orgazmuszavarok
36625;T9000;A fej felszíni sérülésének késői hatása
39842;B3020;Vírusos pharyngoconjunctivitis
39849;B3330;Retrovirus fertőzések, m.n.o.
39850;B3380;Egyéb meghatározott vírusbetegségek
41531;L2110;Gyermekkori seborrhoeás dermatitis
33739;H5420;Csökkentlátás mindkét szemen
33741;H5440;Vakság egyik szemen
33742;H5450;Csökkentlátás egyik szemen
39382;I99H0;A keringési rendszer egyéb és nem-meghatározott rendellenességei
43178;M2010;Hallux valgus (szerzett)
43192;M2180;A végtagok egyéb, meghatározott szerzett deformitásai
43195;M2210;A térdkalács visszatérő (habitualis) subluxatiója
43201;M2300;A meniscus cystosus elváltozása
43206;M2350;A térdízület krónikus instabilitása
43218;M2480;Egyéb meghatározott ízületi működési zavarok, m.n.o.
43237;M3120;Letális midline granuloma
43251;M3390;Dermatopolymyositis, k.m.n.
36795;Z1220;Szűrővizsgálat légzőszervi daganatok kimutatására
36806;Z1340;Szűrővizsgálat gyermekkori fejlődési zavar iránt
36807;Z1350;Szűrővizsgálat szem- és fülbetegségek kimutatására
36808;Z1360;Szűrővizsgálat szív- és keringési betegségek iránt
36810;Z1380;Szűrővizsgálat egyéb betegségek kimutatására
36815;Z2030;Veszettség fert.nek kitett vagy fertőző anyaggal érintkezett személ
35678;V5840;Teherautó-utas sér. összeütk.nélküli száll.bales.ben, fel-leszálláskor
35680;V5860;Teherautó-utas sérülése összeütk. nélküli szállitási közl. balesetben
35688;V5950;Utas sérülése összeütk.ben k.m.n. mot.jármű közlekedési balesetében
35693;V6010;Nehéz sz.jármű-utas sér. gyalogossal-állattal ütk.ben, nem közl.bal
35694;V6020;Nehéz sz.jármű-külső utas sér. gyalogossal-állattal ütk.ben, nem kö
35696;V6040;Nehéz sz.jármű-utas sér.gyalogossal-állattal ütk.ben, fel-leszállás
35698;V6060;Nehéz sz.jármű-utas sérülése gyalogossal-állattal ütk.ben, közl.bal
35719;V6300;Nehéz sz.jármű-vezető sér. autóval-teherautóval ütk.ben, nem közl.b
42634;Q0540;K.m.n. gerinchasadék vízfejűséggel
36630;T9050;A koponyaűri sérülés késői hatása
36633;T9100;A nyak és törzs felszíni sérülésének és nyílt sebének késői hatása
36637;T9140;A mellkas belső sérülésének következményei
34070;N2800;A vese ischaemiája és infarctusa
40130;C0000;Felső ajak, külső felszín rosszindulatú daganata
40131;C0010;Alsó ajak külső felszín rosszindulatú daganata
34079;N3020;Egyéb idült cystitis
34090;N3210;Vesico-intestinalis sipoly
34093;N3240;Húgyhólyagrepedés, nem-traumás
34110;N3680;A húgycső egyéb meghatározott rendellenességei
34122;N4001;Prostata túltengés I. stádium
34128;N4120;Prostata-tályog
33731;H5330;A binocularis látás egyéb rendellenességei
33733;H5350;A színlátás zavarai
33735;H5380;Egyéb látászavarok
40215;D5100;B12-vitamin hiány anaemia intrinsic faktor hiány miatt
40221;D5200;Folsavhiányos anaemia, táplálkozási
40232;D5520;Glycolyticus enzimdefektusok miatti anaemia
39826;B2510;Cytomegalovirus májgyulladás (K77.0*)
39827;B2520;Cytomegalovirus hasnyálmirigy-gyulladás (K87.1*)
39830;B2600;Mumps-orchitis (N51.1*)
41658;P0820;Túlhordott újszülött, a terhesség tartamához képest nem nagy súlyú
41686;P1381;Szülési sérülés (Fractura ossis multiplex neonat.)
41687;P1390;A csontok szülési sérülése, k.m.n.
41694;P1500;A máj szülési sérülése
41946;E7410;A fruktóz anyagcsere rendellenességei
41957;E7550;Egyéb lipid tárolási betegségek
41965;E7700;A lysosomális enzimek post-translatiós modificatiójának defektusai
41979;E7910;Lesch-Nyhan-syndroma
41998;E8340;A magnesium anyagcsere rendellenességei
42014;E8700;Hyperosmolaritás és hypernatraemia
42016;E8720;Acidosis
42017;E8730;Alkalosis
36356;V4150;Autó vezetőjének sérülése kerékpárral ütközésben, közl. baleset
36368;V4290;Autó k.m.n. utasának sérülése 2-3 k.mot.járművel ütk.ben, közl.bale
36370;V4310;Autó utasának sérülése autóval-teherautóval ütközésben, nem közl.bales
37602;Z7200;Dohányzás
37603;Z7210;Alkoholizmus
37612;Z7310;Személyiségi vonások kihangsúlyozása
37621;Z7410;Személyes gondozás terén támogatást igénylő személy
37626;Z7500;Lakáson el nem érhető szolgáltatás
37627;Z7510;Más megfelelő ellátóhelyre várakozó személy
37651;Z8090;Rosszindulatú daganat a családban, k.m.n.
43519;Q5420;Hypospadiasis a penisen és herezacskón
43541;Q6030;Az egyik vese hypoplasiája
42972;F5100;Nem-organikus inszomnia
36623;T8880;Az orvosi ellátás egyéb megjelölt szövődményei m.n.o.
39839;B2790;Fertőző mononucleosis k.m.n.
39840;B3000;Keratoconjunctivitis Adenovirus miatt (H19.2*)
39852;B3410;Enterovirus fertőzés k.m.n.
39854;B3430;Parvovirus fertőzés k.m.n.
39855;B3440;Papovavirus fertőzés k.m.n.
41537;L2302;Fémek okozta allergiás kontaktdermatitis (18 % felett)
41539;L2311;Ragasztószerek okozta allergiás kontaktdermatitis (nem kiterjedt)
41549;L2342;Allergiás kontaktdermatitis festékektől (18 % felett)
43182;M2050;A lábujj(ak) egyéb deformitása (szerzett)
40182;D4600;Refractaer anaemia igazoltan sideroblastok nélkül
40183;D4610;Refractaer anaemia sideroblastokkal
40184;D4620;Refractaer anaemia blast-túlsúllyal
40185;D4630;Refractaer anaemia blast-túlsúllyal, transformatióval
40186;D4640;Refractaer anaemia, k.m.n.
40187;D4670;Egyéb myelodysplasiás syndromák
40188;D4690;Myelodysplasiás syndroma, k.m.n.
43205;M2340;Szabad test a térdízületben
43210;M2400;Szabad test az ízületben
36783;Z1080;Egészségi állapot felmérése: más csoport
40192;D4730;Essentialis (haemorrhagiás) thrombocythaemia
36787;Z1130;Szűrővizsgálat nemi betegség kimutatására
36792;Z1190;Szűrővizsgálat: k.m.n. fertőző és parazitás betegségek kimutatására
36804;Z1320;Szűrővizsgálat táplálkozási betegség kimutatására
36809;Z1370;Szűrővizsgálat fejlődési és chromosoma rendellenességek kimutatásár
37675;Z8400;Bőr és bőralatti szövet betegsége a családi kórelőzményben
37683;Z8530;Rosszind. daganat az egyéni kórelőzményben: emlő
37684;Z8540;Rosszind. daganat az egyéni kórelőzményben: nemi szervek
37687;Z8570;Rosszind. daganat az egyéni kórelőzményben: nyirok és vérképzőrends
35677;V5830;Teherautó-k.m.n.utas sér. összeütk.nélküli száll. nem közl. balesetben
35690;V5980;Teherautó utasának sérülése egyéb megjelölt szállítási balesetben
35697;V6050;Nehéz sz.jármű-vezető sér. gyalogossal-állattal ütk.ben, közl.bales
35701;V6100;Nehéz száll.jármű-vezető sérülése kerékpárral ütk.ben, nem közl.bal
35711;V6210;Nehéz sz.jármű-utas sérül. 2-3 k.mot.járművel ütközésben, nem közl.
35717;V6270;Nehéz sz.jármű-külső utas sér. 2-3 k.mot.járművel ütk.ben, közl.bal
35718;V6290;Nehéz sz.jármű-k.m.n.utas sér. 2-3 k.mot.járművel ütk.ben, közl.bal
35720;V6310;Nehéz sz.jármű-utas sér. autóval-teherautóval ütk.ben, nem közl.bal
35721;V6320;Nehéz sz.jármű-külső utas sér. autóval-teherautóval ütk.ben, nem kö
35726;V6370;Nehéz sz.jármű-külső utas sér. autóval-teherautóval ütk.ben, közl.b
36643;T9220;A csukló és a kéz törésének következményei
36652;T9320;Az alsó végtag egyéb törésének következményei
36660;T9410;A k.m.n. lokalizációjú sérülés következményei
40214;D5090;Vashiány anaemia k.m.n.
36666;T9580;Egyéb megjelölt égés, maródás vagy fagyás következményei
36680;U9970;Laesio cerebri progressiva epilepsiamque
36690;V0310;Gyalogos sérülése autóval-teherautóval összeütközsében, közl. baleset
36691;V0390;Gyalogos sérülése autóval-teherautóval összeütközésben, k.m.n. baleset
36693;V0410;Gyalogos sérülése nehézjárművel-autóbusszal összeütk.ben, közl.bale
36694;V0490;Gyalogos sérülése nehézjárművel-autóbusszal ütk.ben, k.m.n. baleset
36696;V0510;Gyalogos sérülése személy-tehervonattal összeütk.ben, közl. baleset
37968;A1690;Légzőszervi gümőkór k.m.n., bakter. vagy szövettan említése nélkül
37992;A1815;Húgyhólyag gümőkór
