EUPONT_ID;KATEGORIA_ID;KATEGORIA;JOGOSULT;JIDOKORLAT;SZAKV_ID;KIINT_ID
100963;3;Kijelölt intézmény;írhat;0;71457;37786640
103152;6;Kijelölt intézmény szakorvosa;írhat;0;54248;1
99851;6;Kijelölt intézmény szakorvosa;javasolhat és írhat;0;54233;1
103101;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54235;1
98816;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54253;1
103098;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54286;1
99906;3;Kijelölt intézmény;írhat;0;71457;37786648
100973;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786645
99489;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54235;1
99498;5;Háziorvos;javaslatra írhat;12;1;1
99481;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54268;1
103106;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54272;1
99484;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54233;1
99903;3;Kijelölt intézmény;írhat;0;71457;37786645
99853;3;Kijelölt intézmény;írhat;0;71457;37786673
99507;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54242;1
98841;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54219;1
103075;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54253;1
99521;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54219;1
99915;3;Kijelölt intézmény;írhat;0;71457;37786671
98842;0;Megkötés nélkül;írhat;0;54219;1
103086;3;Kijelölt intézmény;írhat;0;71457;37786633
103091;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75419;1
99909;3;Kijelölt intézmény;írhat;0;71457;37786631
103074;3;Kijelölt intézmény;írhat;0;71457;37786645
99290;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54253;1
98824;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54273;1
103094;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75427;1
103083;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54217;1
99480;0;Megkötés nélkül;írhat;0;54222;1
99902;3;Kijelölt intézmény;írhat;0;71457;37786645
98840;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54263;1
99853;3;Kijelölt intézmény;írhat;0;71457;37786684
103090;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37848576
99502;0;Megkötés nélkül;javasolhat és írhat;0;75400;1
99853;6;Kijelölt intézmény szakorvosa;írhat;0;54281;1
101394;5;Háziorvos;javaslatra írhat;12;1;1
100962;3;Kijelölt intézmény;írhat;0;71457;37786635
98855;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54245;1
103076;3;Kijelölt intézmény;írhat;0;71457;37786644
99913;3;Kijelölt intézmény;írhat;0;71457;37786673
101397;0;Megkötés nélkül;írhat;0;54252;1
103076;6;Kijelölt intézmény szakorvosa;írhat;0;54252;1
99914;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786645
101398;0;Megkötés nélkül;írhat;0;54255;1
100967;3;Kijelölt intézmény;írhat;0;71457;37786661
99290;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75438;1
103090;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786633
100972;3;Kijelölt intézmény;írhat;0;71457;37786631
99854;3;Kijelölt intézmény;írhat;0;71457;37786651
99518;0;Megkötés nélkül;írhat;0;75433;1
103086;3;Kijelölt intézmény;írhat;0;71457;37786631
101919;3;Kijelölt intézmény;írhat;0;71457;37786650
103074;3;Kijelölt intézmény;írhat;0;71457;37786648
99455;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54281;1
99910;3;Kijelölt intézmény;írhat;0;71457;37786667
103088;3;Kijelölt intézmény;írhat;0;71457;37786672
98799;0;Megkötés nélkül;írhat;0;1;1
98876;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javaslatra írhat;999;54286;1
103089;3;Kijelölt intézmény;írhat;0;71457;37786692
99923;3;Kijelölt intézmény;írhat;0;71457;37786632
99429;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75387;1
103081;3;Kijelölt intézmény;írhat;0;71457;37786671
99917;3;Kijelölt intézmény;írhat;0;71457;37786686
103076;3;Kijelölt intézmény;írhat;0;71457;37786678
103104;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75438;1
101919;3;Kijelölt intézmény;írhat;0;71457;37786676
103079;3;Kijelölt intézmény;írhat;0;71457;37786657
98803;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54247;1
99511;5;Háziorvos;javaslatra írhat;12;1;1
99467;0;Megkötés nélkül;írhat;0;54233;1
99517;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54248;1
101394;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54252;1
99909;3;Kijelölt intézmény;írhat;0;71457;37786673
101398;0;Megkötés nélkül;írhat;0;54252;1
99915;3;Kijelölt intézmény;írhat;0;71457;37786667
99854;3;Kijelölt intézmény;írhat;0;71457;37786686
99922;6;Kijelölt intézmény szakorvosa;írhat;0;54281;1
99496;5;Háziorvos;javaslatra írhat;12;1;1
99910;3;Kijelölt intézmény;írhat;0;71457;37786651
99851;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786686
98978;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54253;1
103088;3;Kijelölt intézmény;írhat;0;71457;37786645
99437;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54272;1
98956;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54268;1
101920;3;Kijelölt intézmény;írhat;0;71457;37786657
99458;7;Diabetológiai szakellátóhely;javasolhat és írhat;0;75390;1
99489;7;Diabetológiai szakellátóhely;javasolhat és írhat;0;75390;1
103085;3;Kijelölt intézmény;írhat;0;71457;37786632
99913;3;Kijelölt intézmény;írhat;0;71457;37786686
103062;3;Kijelölt intézmény;írhat;0;71457;37786642
103105;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54255;1
103062;3;Kijelölt intézmény;írhat;0;71457;37786633
101919;6;Kijelölt intézmény szakorvosa;írhat;0;54245;1
100969;3;Kijelölt intézmény;írhat;0;71457;37786639
99919;3;Kijelölt intézmény;írhat;0;71457;37786631
103096;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75437;1
101920;3;Kijelölt intézmény;írhat;0;71457;37786691
99479;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54264;1
99291;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54252;1
99451;5;Háziorvos;javaslatra írhat;12;1;1
99917;3;Kijelölt intézmény;írhat;0;71457;37786631
98980;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75390;1
103069;3;Kijelölt intézmény;írhat;0;54298;37786631
103062;3;Kijelölt intézmény;írhat;0;71457;38567952
103094;8;Menopauza és osteoporózis járóbeteg-szakrendelés;javasolhat és írhat;0;54250;1
99444;5;Háziorvos;javaslatra írhat;12;1;1
99493;1;Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75402;1
100975;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54235;1
103076;3;Kijelölt intézmény;írhat;0;71457;37786671
99495;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54264;1
98812;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54281;1
98973;0;Megkötés nélkül;írhat;0;54248;1
99909;3;Kijelölt intézmény;írhat;0;71457;37786672
103089;3;Kijelölt intézmény;írhat;0;71457;37786658
98855;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75427;1
99526;7;Diabetológiai szakellátóhely;javasolhat és írhat;0;75390;1
99899;0;Megkötés nélkül;javaslatra írhat;999;75389;1
98980;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54218;1
103074;3;Kijelölt intézmény;írhat;0;71457;37786660
103085;3;Kijelölt intézmény;írhat;0;71457;37786666
100975;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54226;1
98815;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75402;1
99851;0;Megkötés nélkül;javaslatra írhat;12;54286;1
103095;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54263;1
103058;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786655
99923;3;Kijelölt intézmény;írhat;0;71457;37786635
99456;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54235;1
99290;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75402;1
99449;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54217;1
103079;3;Kijelölt intézmény;írhat;0;71457;37786635
103090;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786659
99853;3;Kijelölt intézmény;írhat;0;71457;37786690
100974;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54252;1
103079;3;Kijelölt intézmény;írhat;0;71457;37786643
101919;3;Kijelölt intézmény;írhat;0;71457;38199949
99506;5;Háziorvos;javaslatra írhat;12;1;1
103092;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54245;1
100973;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786658
103058;6;Kijelölt intézmény szakorvosa;javasolhat és írhat;0;54252;1
103069;3;Kijelölt intézmény;írhat;0;54298;37786686
100995;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786686
103082;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54233;1
103095;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75437;1
100967;3;Kijelölt intézmény;írhat;0;71457;37786657
103088;3;Kijelölt intézmény;írhat;0;71457;37786665
103089;3;Kijelölt intézmény;írhat;0;71457;37786673
99461;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75390;1
103062;3;Kijelölt intézmény;írhat;0;71457;37786693
101920;6;Kijelölt intézmény szakorvosa;írhat;0;54255;1
100963;3;Kijelölt intézmény;írhat;0;71457;37786661
98973;0;Megkötés nélkül;írhat;0;75433;1
103062;3;Kijelölt intézmény;írhat;0;71457;37786661
99431;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54252;1
99292;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54273;1
103106;0;Megkötés nélkül;írhat;0;54252;1
99922;3;Kijelölt intézmény;írhat;0;71457;37786686
103097;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54233;1
99445;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54235;1
99469;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54267;1
99914;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786631
99507;0;Megkötés nélkül;írhat;0;54242;1
99493;1;Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54250;1
98850;5;Háziorvos;javaslatra írhat;999;1;1
103076;3;Kijelölt intézmény;írhat;0;71457;37786667
103095;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75419;1
103057;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;86313;1
101394;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54273;1
100973;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786642
99485;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54246;1
103092;8;Menopauza és osteoporózis járóbeteg-szakrendelés;írhat;0;75387;1
99915;3;Kijelölt intézmény;írhat;0;71457;37786684
99455;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75429;1
99508;5;Háziorvos;javaslatra írhat;12;1;1
103091;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54237;1
99480;0;Megkötés nélkül;írhat;0;75398;1
103061;3;Kijelölt intézmény;írhat;0;71457;37786646
99901;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786639
103085;3;Kijelölt intézmény;írhat;0;71457;37786661
99914;3;Kijelölt intézmény;javasolhat és írhat;0;71457;37786686
99851;6;Kijelölt intézmény szakorvosa;javasolhat és írhat;0;54272;1
98883;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54253;1
103088;3;Kijelölt intézmény;írhat;0;71457;37786661
98795;9;Fekvőbeteg gyógyintézeti háttérrel rendelkező járóbeteg szakr.;írhat;0;54273;1
103069;3;Kijelölt intézmény;írhat;0;54298;37786639
103093;8;Menopauza és osteoporózis járóbeteg-szakrendelés;javasolhat és írhat;0;54250;1
103081;3;Kijelölt intézmény;írhat;0;71457;37786646
99854;3;Kijelölt intézmény;írhat;0;71457;37786692
98984;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;75390;1
99455;5;Háziorvos;javaslatra írhat;12;1;1
99904;3;Kijelölt intézmény;írhat;0;71457;37786639
99906;3;Kijelölt intézmény;írhat;0;71457;37786690
103088;3;Kijelölt intézmény;írhat;0;71457;37786690
99509;5;Háziorvos;javaslatra írhat;12;1;1
98813;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;54281;1
103071;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;írhat;0;86313;1
103076;3;Kijelölt intézmény;írhat;0;71457;38199945
103076;3;Kijelölt intézmény;írhat;0;71457;37786676
99493;1;Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54253;1
103065;9;Fekvőbeteg gyógyintézeti háttérrel rendelkező járóbeteg szakr.;írhat;0;54242;1
100962;3;Kijelölt intézmény;írhat;0;71457;37786665
103083;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54233;1
99494;1;Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75419;1
103074;3;Kijelölt intézmény;írhat;0;71457;37786667
99494;1;Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54246;1
99480;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;75398;1
99915;3;Kijelölt intézmény;írhat;0;71457;37786665
99923;3;Kijelölt intézmény;írhat;0;71457;37786665
99493;1;Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54217;1
99525;4;Járóbeteg szakrendelés/Fekvőbeteg gyógyintézet;javasolhat és írhat;0;54267;1
101919;3;Kijelölt intézmény;írhat;0;71457;38199947
103085;3;Kijelölt intézmény;írhat;0;71457;37786633
